Id,Label,timeset,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
214328887,214328887,,0,8,0.262052,0.277761,2438.292418
34428380,34428380,,0,8,0.301529,0.331576,229455.837711
17116707,17116707,,0,8,0.249784,0.263886,164.681003
28465635,28465635,,0,8,0.268965,0.288739,8658.159788
380580781,380580781,,0,8,0.263956,0.278861,980.011952
18996905,18996905,,0,8,0.299646,0.322951,193904.307894
221036078,221036078,,0,9,0.252418,0.265985,39.195349
153460275,153460275,,0,9,0.252429,0.265858,52.21415
107830991,107830991,,0,8,0.263882,0.279012,1387.416363
17868918,17868918,,0,8,0.272163,0.292543,26976.699671
151338729,151338729,,0,8,0.264304,0.281025,8978.070577
222261763,222261763,,0,8,0.270175,0.286366,6045.829472
19705747,19705747,,0,8,0.271904,0.288022,12884.377726
88323281,88323281,,0,8,0.258415,0.278779,5468.501208
19933035,19933035,,0,9,0.248368,0.261728,89.258063
149538028,149538028,,0,8,0.255279,0.27117,540.348368
158419434,158419434,,0,8,0.286254,0.305223,21908.963702
17434613,17434613,,0,8,0.250093,0.264092,154.040686
153226312,153226312,,0,8,0.268026,0.285216,10449.818398
364971269,364971269,,0,8,0.271437,0.286011,3132.92186
100581193,100581193,,0,8,0.263621,0.278545,1837.422652
279787626,279787626,,0,8,0.264504,0.280214,2703.627944
113058991,113058991,,0,8,0.276677,0.293994,7537.616183
69592091,69592091,,0,8,0.263571,0.279585,1626.4539
187773078,187773078,,0,8,0.260805,0.277673,3679.498707
406628822,406628822,,0,9,0.254228,0.268968,367.382604
262802533,262802533,,0,9,0.252912,0.266387,55.538002
460282402,460282402,,0,8,0.252906,0.266131,20.382204
280935165,280935165,,0,8,0.258467,0.274808,1956.194728
437804658,437804658,,0,9,0.248238,0.261104,3.554688
27633075,27633075,,0,8,0.264297,0.28437,5502.820978
285312927,285312927,,0,9,0.252969,0.266528,69.008474
131613362,131613362,,0,8,0.255567,0.270377,417.877477
